SDSS magnitudes of the elliptical galaxies in Dabringhausen & Fellhauer (2015).
This is the full version of Table (6) in Dabringhausen & Fellhauer (2015). Unknown values are indictated with entries set to -9.99.

The Table contains the following data:
Column 1: The running number of the galaxy that identifies it within this catalog.
Column 2: The apparent u-band magnitude, m_u, of the galaxy. The values are corrected for extinction and redshift. 
Column 3: The uncertainty of m_u.
Column 4: The sources for the quoted values for m_g and their uncertainties.
Column 5: The apparent g-band magnitude, m_g, of the galaxy. The values are corrected for extinction and redshift. 
Column 6: The uncertainty of m_g.
Column 7: The sources for the quoted values for m_g and their uncertainties. 
Column 8: The apparent r-band magnitude, m_r, of the galaxy. The values are corrected for extinction and redshift. 
Column 9: The uncertainty of m_r.
Column 10: The sources for the quoted values for m_r and their uncertainties.
Column 11: The apparent i-band magnitude, m_i, of the galaxy. The values are corrected for extinction and redshift. 
Column 12: The uncertainty of m_i.
Column 13: The sources for the quoted values for m_i and their uncertainties.
Column 14: The apparent z-band magnitude, m_z, of the galaxy. The values are corrected for extinction and redshift. 
Column 15: The uncertainty of m_z.
Column 16: The sources for the quoted values for m_z and their uncertainties.

For a detailed description of the data in this table, see Section (5) in Dabringhausen & Fellhauer (2015).

-----------------------------------------------------------------------------------------------------------------------------
  id   m_u      dm_u  s.       m_g      dm_g  s.       m_r      dm_r  s.       m_i      dm_i  s.       m_z      dm_z       s.
       [mag]                   [mag]                   [mag]                   [mag]                   [mag]    
-----------------------------------------------------------------------------------------------------------------------------
 167   16.09    0.43    1002   14.45    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 168   15.63    0.43    1002   13.95    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 169   16.88    0.43    1002   15.32    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 170   16.30    0.43    1002   14.68    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 171   15.12    0.43    1012   13.30    0.43    1012   12.47    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 172   16.52    0.43    1002   14.92    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 173   15.52    0.01       1   13.78    0.00       1   13.04    0.00       1   12.65    0.00       1   12.36    0.00       1
 174   14.99    0.43    1012   13.19    0.43    1012   12.40    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 175   14.46    0.00       1   12.46    0.00       1   11.61    0.00       1   11.23    0.00       1   10.87    0.00       1
 176   12.85    0.43    1002   11.12    0.43    1002   10.42    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 177   15.71    3.05    1002   15.61    1.70    1002   14.70    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 178   13.12    0.00       1   11.21    0.00       1   10.40    0.00       1    9.99    0.00       1    9.74    0.00       1
 179   16.80    3.05    1002   16.52    1.70    1002   14.77    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 180   11.03    0.43    1012    9.20    0.43    1012    8.43    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 181   13.21    0.00       1   11.20    0.00       1   10.31    0.00       1    9.87    0.00       1    9.60    0.00       1
 182   15.62    0.01       1   13.67    0.00       1   12.87    0.00       1   12.46    0.00       1   12.20    0.00       1
 183   14.18    0.43    1012   12.44    0.43    1012   12.38    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 184   14.75    0.43    1012   13.06    0.43    1012   12.49    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 185   15.31    0.43    1002   13.77    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 186   14.68    0.43    1012   12.98    0.43    1012   12.32    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 187   16.55    0.43    1002   15.19    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 188   15.16    0.43    1002   13.68    0.43    1002   12.43    0.43    1034   11.52    0.47    1004   11.21    0.53    1004
 189   18.50    0.43    1002   17.36    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 190   16.15    0.43    1002   14.80    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 191   17.72    0.43    1002   16.50    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 192   15.47    0.43    1002   14.07    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 193   18.32    0.43    1002   17.17    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 194   16.93    0.43    1002   15.64    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 195   18.46    0.43    1002   17.32    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 196   18.53    0.43    1002   17.39    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 197   19.10    0.43    1002   18.01    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 198   15.79    0.43    1002   14.39    0.43    1002   13.72    0.43    1034   13.27    0.47    1004   13.02    0.53    1004
 199   18.35    0.43    1002   17.20    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 200   18.05    0.43    1002   16.76    0.43    1002   17.82    0.43    1034   19.13    0.47    1004   19.04    0.53    1004
 201   14.54    0.43    1012   12.89    0.43    1012   12.30    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 202   18.04    0.43    1002   16.86    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 203   19.89    0.43    1002   18.88    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 204   19.26    0.43    1002   18.19    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 205   17.56    0.43    1002   16.31    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 206   19.27    0.43    1002   18.20    0.43    1002   17.47    0.43    1034   16.83    0.47    1004   16.69    0.53    1004
 207   14.92    0.43    1012   13.30    0.43    1012   12.40    0.43    1034   11.69    0.47    1004   11.39    0.53    1004
 208   18.35    0.43    1002   17.20    0.43    1002   16.58    0.43    1034   16.14    0.47    1004   15.98    0.53    1004
 209   18.62    0.43    1002   17.49    0.43    1002   16.79    0.43    1034   16.48    0.47    1004   16.34    0.53    1004
 210   18.77    0.43    1002   17.66    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 211   20.09    0.43    1002   19.10    1.70    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 212   18.87    0.43    1002   17.76    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 213   14.06    0.43    1012   12.37    0.43    1012   11.58    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 214   18.28    0.43    1002   17.12    0.43    1002   16.56    0.43    1034   16.23    0.47    1004   16.07    0.53    1004
 215   17.87    0.43    1002   16.67    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 216   17.29    0.43    1002   16.04    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 217   19.45    0.43    1002   18.40    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 218   20.00    0.43    1002   19.00    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 219   18.99    0.43    1002   17.89    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 220   19.91    0.43    1002   18.91    0.43    1002   18.12    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 221   16.84    0.43    1002   15.55    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 222   17.34    0.43    1002   16.05    0.43    1002   15.40    0.43    1034   14.98    0.47    1004   14.77    0.53    1004
 223   13.90    0.43    1012   12.21    0.43    1012   11.07    0.43    1034   10.24    0.47    1004    9.89    0.53    1004
 224   17.17    0.43    1002   15.91    0.43    1002   15.20    0.43    1034   14.81    0.47    1004   14.61    0.53    1004
 225   18.34    0.43    1002   17.19    0.43    1002   16.69    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 226   19.36    0.43    1002   18.31    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 227   15.83    0.43    1002   14.43    0.43    1002   13.74    0.43    1034   13.34    0.47    1004   13.09    0.53    1004
 228   18.81    0.43    1002   17.70    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 229   19.99    0.43    1002   18.99    0.43    1002   18.18    0.43    1034   17.41    0.47    1004   17.29    0.53    1004
 230   15.72    0.43    1002   14.32    0.43    1002   13.50    0.43    1034   13.02    0.47    1004   12.76    0.53    1004
 231   17.52    0.43    1002   16.28    0.43    1002   18.21    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 232   18.08    0.43    1002   16.90    0.43    1002   16.23    0.43    1034   15.94    0.47    1004   15.78    0.53    1004
 233   18.23    0.43    1002   17.07    0.43    1002   16.13    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 234   16.47    0.43    1002   15.11    0.43    1002   14.35    0.43    1034   13.90    0.47    1004   13.66    0.53    1004
 235   20.00    0.43    1002   19.00    0.43    1002   19.16    1.25    1034   18.59    1.40    1004   18.52    1.50    1004
 236   18.04    0.43    1002   16.86    0.43    1002   16.97    0.43    1034   16.41    0.47    1004   16.26    0.53    1004
 237   17.86    0.43    1002   16.66    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 238   19.06    0.43    1002   17.97    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 239   16.09    0.43    1002   14.71    0.43    1002   14.03    0.43    1034   13.58    0.47    1004   13.34    0.53    1004
 240   19.80    0.43    1002   18.79    0.43    1002   18.70    1.25    1034   18.36    0.47    1004   18.28    0.53    1004
 241   18.45    0.43    1002   17.37    0.43    1002   16.04    0.43    1034   15.46    0.47    1004   15.31    0.53    1004
 242   18.09    0.43    1002   16.91    0.43    1002   16.28    0.43    1034   15.94    0.47    1004   15.78    0.53    1004
 243   17.76    0.43    1002   16.55    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 244   16.98    0.43    1002   15.71    0.43    1002   15.29    0.43    1034   14.88    0.47    1004   14.68    0.53    1004
 245   18.30    0.43    1002   17.14    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 246   18.43    0.43    1002   17.29    0.43    1002   16.95    0.43    1034   16.67    0.47    1004   16.53    0.53    1004
 247   16.29    0.43    1002   14.80    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 248   18.14    0.43    1002   16.97    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 249   19.44    0.43    1002   18.39    0.43    1002   18.19    0.43    1034   17.51    0.47    1004   17.40    0.53    1004
 250   18.81    0.43    1002   17.70    0.43    1002   17.50    0.43    1034   17.20    0.47    1004   17.08    0.53    1004
 251   19.44    0.43    1002   18.39    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 252   19.17    0.43    1002   18.09    0.43    1002   17.46    0.43    1034   17.08    0.47    1004   16.96    0.53    1004
 253   18.34    0.43    1002   17.19    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 254   18.32    0.43    1002   17.17    0.43    1002   16.60    0.43    1034   16.17    0.47    1004   16.02    0.53    1004
 255   16.62    0.43    1002   15.30    0.43    1002   17.31    0.43    1034   19.46    1.40    1004   19.42    1.50    1004
 256   16.67    0.43    1002   15.36    0.43    1002   14.63    0.43    1034   14.19    0.47    1004   13.97    0.53    1004
 257   17.88    0.43    1002   16.68    0.43    1002   16.92    0.43    1034   16.64    0.47    1004   16.50    0.53    1004
 258   19.77    0.43    1002   18.69    0.43    1002   17.77    0.43    1034   17.18    0.47    1004   17.04    0.53    1004
 259   19.26    0.43    1002   18.19    0.43    1002   17.69    0.43    1034   17.24    0.47    1004   17.12    0.53    1004
 260   15.44    0.43    1012   13.89    0.43    1012   12.96    0.43    1034   12.35    0.47    1004   12.08    0.53    1004
 261   19.88    0.43    1002   18.90    1.70    1002   18.41    1.25    1034   18.06    0.47    1004   17.98    0.53    1004
 262   20.24    3.05    1002   19.30    1.70    1002   18.56    1.25    1034   18.18    1.40    1004   18.10    1.50    1004
 263   13.55    0.43    1012   11.84    0.43    1012   10.69    0.43    1034    9.95    0.47    1004    9.60    0.53    1004
 264   14.31    0.43    1002   12.78    0.43    1002   11.70    0.43    1034   11.18    0.47    1004   10.87    0.53    1004
 265   15.95    0.43    1002   14.58    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 266   18.81    0.43    1002   17.70    0.43    1002   16.96    0.43    1034   16.49    0.47    1004   16.35    0.53    1004
 267   19.90    0.43    1002   18.90    0.43    1002   18.46    0.43    1034   18.07    0.47    1004   17.98    0.53    1004
 268   12.35    0.43    1012   10.55    0.43    1012    9.46    0.43    1034    8.76    0.47    1004    8.37    0.53    1004
 269   15.10    0.43    1002   13.63    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 270   19.09    0.43    1002   18.00    0.43    1002   17.80    0.43    1034   17.45    0.47    1004   17.34    0.53    1004
 271   18.23    0.43    1002   17.01    0.43    1002   17.50    0.43    1034   17.07    0.47    1004   16.92    0.53    1004
 272   19.09    0.43    1002   18.00    0.43    1002   16.44    0.43    1034   16.03    0.47    1004   15.87    0.53    1004
 273   18.00    0.43    1002   16.82    0.43    1002   15.92    0.43    1034   15.61    0.47    1004   15.44    0.53    1004
 274   18.90    0.43    1002   17.80    0.43    1002   17.75    0.43    1034   17.40    0.47    1004   17.29    0.53    1004
 275   13.36    0.43    1012   11.64    0.43    1012   10.93    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 276   18.55    0.43    1002   17.40    0.43    1002   16.41    0.43    1034   15.99    0.47    1004   15.82    0.53    1004
 277   20.47    3.05    1002   19.51    1.70    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 278   17.23    0.43    1002   15.97    0.43    1002   15.36    0.43    1034   14.94    0.47    1004   14.75    0.53    1004
 279   18.35    0.43    1002   17.20    0.43    1002   16.67    0.43    1034   16.30    0.47    1004   16.15    0.53    1004
 280   13.98    0.43    1012   12.30    0.43    1012   11.17    0.43    1034   10.44    0.47    1004   10.10    0.53    1004
 281   19.44    0.43    1002   18.40    0.43    1002   18.04    0.43    1034   17.46    0.47    1004   17.35    0.53    1004
 282   14.82    0.43    1012   13.22    0.43    1012   12.33    0.43    1034   11.72    0.47    1004   11.42    0.53    1004
 283   18.60    0.43    1002   17.47    0.43    1002   17.58    0.43    1034   17.08    0.47    1004   16.95    0.53    1004
 284   18.81    0.43    1002   17.70    0.43    1002   17.23    0.43    1034   16.83    0.47    1004   16.69    0.53    1004
 285   17.50    0.43    1002   16.26    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 286   14.93    0.43    1002   13.47    0.43    1002   12.42    0.43    1034   11.79    0.47    1004   11.50    0.53    1004
 287   18.09    0.43    1002   16.91    0.43    1002   16.28    0.43    1034   15.87    0.47    1004   15.71    0.53    1004
 288   18.85    0.43    1002   17.74    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 289   18.11    0.43    1002   16.94    0.43    1002   16.26    0.43    1034   15.81    0.47    1004   15.65    0.53    1004
 290   18.01    0.43    1002   16.83    0.43    1002   16.61    0.43    1034   16.26    0.47    1004   16.11    0.53    1004
 291   16.02    0.43    1002   14.63    0.43    1002   13.55    0.43    1034   13.08    0.47    1004   12.83    0.53    1004
 292   13.34    0.43    1012   11.63    0.43    1012   10.31    0.43    1034    9.50    0.47    1004    9.14    0.53    1004
 293   20.17    0.43    1002   19.19    1.70    1002   18.89    1.25    1034   18.42    1.40    1004   18.34    0.53    1004
 294   16.67    0.43    1002   15.35    0.43    1002   15.52    0.43    1034   14.68    0.47    1004   14.48    0.53    1004
 295   18.34    0.43    1002   17.19    0.43    1002   15.69    0.43    1034   15.80    0.47    1004   15.63    0.53    1004
 296   15.11    0.43    1012   13.52    0.43    1012   12.44    0.43    1034   11.71    0.47    1004   11.41    0.53    1004
 297   19.98    0.43    1002   19.00    1.70    1002   18.72    1.25    1034   18.26    1.40    1004   18.18    0.53    1004
 298   20.25    3.05    1002   19.32    1.70    1002   19.18    1.25    1034   18.80    1.40    1004   18.75    1.50    1004
 299   13.90    0.43    1012   12.23    0.43    1012   11.14    0.43    1034   10.44    0.47    1004   10.10    0.53    1004
 300   18.99    0.43    1002   17.87    0.43    1002   17.20    0.43    1034   16.87    0.47    1004   16.74    0.53    1004
 301   17.60    0.43    1002   16.37    0.43    1002   15.84    0.43    1034   15.38    0.47    1004   15.20    0.53    1004
 302   18.69    0.43    1002   17.51    0.43    1002   16.75    0.43    1034   16.38    0.47    1004   16.21    0.53    1004
 303   19.80    0.43    1002   18.79    0.43    1002   18.80    1.25    1034   18.75    1.40    1004   18.68    1.50    1004
 304   18.80    0.43    1002   17.69    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 305   17.63    0.43    1002   16.40    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 306   18.27    0.43    1002   17.11    0.43    1002   16.36    0.43    1034   15.92    0.47    1004   15.76    0.53    1004
 307   16.02    0.43    1002   14.64    0.43    1002   13.61    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 308   16.60    0.43    1002   15.27    0.43    1002   14.39    0.43    1034   14.05    0.47    1004   13.82    0.53    1004
 309   17.28    0.43    1002   16.00    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 310   17.13    0.43    1002   15.84    0.43    1002   15.20    0.43    1034   14.84    0.47    1004   14.63    0.53    1004
 311   18.40    0.43    1002   17.25    0.43    1002   16.19    0.43    1034   15.84    0.47    1004   15.68    0.53    1004
 312   19.88    0.43    1002   18.87    0.43    1002   16.56    0.43    1034   14.41    0.47    1004   14.20    0.53    1004
 313   17.24    0.43    1002   15.95    0.43    1002   15.31    0.43    1034   14.90    0.47    1004   14.70    0.53    1004
 314   12.10    0.43    1012   10.27    0.43    1012    9.47    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 315   19.13    0.43    1002   18.06    0.43    1002   17.70    0.43    1034   17.16    0.47    1004   17.04    0.53    1004
 316   12.27    0.43    1012   10.43    0.43    1012    9.61    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 317   20.38    0.43    1002   19.37    0.43    1002   19.58    1.25    1034   19.31    1.40    1004   19.25    1.50    1004
 318   20.01    0.43    1002   19.01    0.43    1002   18.50    0.43    1034   18.10    0.47    1004   18.00    0.53    1004
 319   19.92    3.05    1002   18.99    1.70    1002   17.13    0.43    1034   16.43    0.47    1004   16.31    0.53    1004
 320   12.56    0.43    1012   10.77    0.43    1012    9.91    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 321   17.88    0.43    1002   16.74    0.43    1002   16.17    0.43    1034   15.81    0.47    1004   15.67    0.53    1004
 322   16.49    0.43    1002   15.16    0.43    1002   13.52    0.43    1034   13.05    0.47    1004   12.79    0.53    1004
 323   17.70    0.43    1002   16.49    0.43    1002   15.89    0.43    1034   15.48    0.47    1004   15.30    0.53    1004
 324   17.00    0.43    1002   15.77    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 325   18.62    0.43    1002   17.49    0.43    1002   17.96    0.43    1004   17.58    0.47    1004   17.47    0.53    1004
 326   18.97    0.43    1002   17.88    0.43    1002   18.13    0.43    1034   17.97    0.47    1004   17.87    0.53    1004
 327   20.01    0.43    1002   19.01    1.70    1002   18.46    0.43    1034   17.58    0.47    1004   17.48    0.53    1004
 328   19.82    0.43    1002   18.74    0.43    1002   18.00    0.43    1034   17.86    0.47    1004   17.74    0.53    1004
 329   18.70    0.43    1002   17.51    0.43    1002   17.08    0.43    1034   16.73    0.47    1004   16.57    0.53    1004
 330   19.19    0.43    1002   18.11    0.43    1002   17.44    0.43    1034   17.12    0.47    1004   17.00    0.53    1004
 331   18.24    0.43    1002   17.08    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 332   18.22    0.43    1002   17.06    0.43    1002   16.28    0.43    1034   16.01    0.47    1004   15.85    0.53    1004
 333   18.75    0.43    1002   17.63    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 334   12.05    0.43    1002   10.25    0.43    1002    9.48    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 335   17.90    0.43    1002   16.70    0.43    1002   16.45    0.43    1034   16.13    0.47    1004   15.97    0.53    1004
 336   16.92    0.43    1002   15.63    0.43    1002   14.88    0.43    1034   14.49    0.47    1004   14.28    0.53    1004
 337   18.00    0.43    1002   16.88    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 338   19.45    0.43    1002   18.36    0.43    1002   17.61    0.43    1034   17.08    0.47    1004   16.94    0.53    1004
 339   19.82    0.43    1002   18.81    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 340   16.66    0.43    1002   15.35    0.43    1002   14.89    0.43    1034   14.23    0.47    1004   14.01    0.53    1004
 341   18.64    0.43    1002   17.51    0.43    1002   17.47    0.43    1034   17.31    0.47    1004   17.19    0.53    1004
 342   18.25    0.43    1002   17.09    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 343   14.92    0.43    1012   13.32    0.43    1012   12.62    0.43    1030   -9.99   -9.99       0   -9.99   -9.99       0
 344   19.73    0.43    1002   18.71    0.43    1002   18.42    0.43    1034   18.10    0.47    1004   18.01    0.53    1004
 345   16.87    0.43    1002   15.58    0.43    1002   14.83    0.43    1034   14.37    0.47    1004   14.16    0.53    1004
 346   17.33    0.43    1002   16.08    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 347   18.62    0.43    1002   17.49    0.43    1002   16.43    0.43    1034   16.32    0.47    1004   16.17    0.53    1004
 348   15.23    0.43    1002   13.78    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 349   20.57    3.05    1002   19.64    1.70    1002   18.62    1.25    1030   -9.99   -9.99       0   -9.99   -9.99       0
 350   20.28    3.05    1002   19.31    1.70    1002   19.53    1.25    1034   18.43    1.40    1004   18.35    0.53    1004
 351   18.63    0.43    1002   17.50    0.43    1002   17.50    0.43    1034   17.47    0.47    1004   17.36    0.53    1004
 352   18.06    0.43    1002   16.88    0.43    1002   16.31    0.43    1034   16.00    0.47    1004   15.84    0.53    1004
 353   16.74    0.43    1002   15.44    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 354   18.64    0.43    1002   17.51    0.43    1002   16.81    0.43    1034   16.23    0.47    1004   16.08    0.53    1004
 355   17.59    0.43    1002   16.36    0.43    1002   15.78    0.43    1034   15.37    0.47    1004   15.19    0.53    1004
 356   18.93    0.43    1002   17.83    0.43    1002   -9.99   -9.99       0   -9.99   -9.99       0   -9.99   -9.99       0
 357   15.82    0.43    1002   14.42    0.43    1002   13.63    0.43    1034   13.16    0.47    1004   12.91    0.53    1004
 358   19.20    0.43    1002   18.13    0.43    1002   17.91    0.43    1034   17.59    0.47    1004   17.48    0.53    1004
